time,infected_ratio,propagation_distance,verification_failures,avg_v2v_delay_ms,avg_v2i_uplink_ms,avg_v2i_downlink_ms,avg_v2i_rtt_ms,avg_reg_delay_ms,avg_kgc_rtt_ms,avg_ta_rtt_ms
1,0,0,0,0,13.1484,5.0401,18.1879,42.5722,8.06472,8.05114
2,1,103.2,0,48.4382,12.5539,31.8129,44.3436,67.7057,8.06472,8.05114
3,1,103.2,0,51.444,12.3287,30.3957,42.7388,67.7057,8.06472,8.05114
4,1,103.2,0,51.1855,12.3128,31.4447,43.7569,67.7057,8.06472,8.05114
5,1,103.2,0,53.4582,12.2086,31.8679,44.0542,67.7057,8.06472,8.05114
6,1,103.2,0,49.767,13.2442,31.581,44.8112,67.7057,8.06472,8.05114
