time,infected_ratio,propagation_distance,verification_failures,avg_v2v_delay_ms,avg_v2i_uplink_ms,avg_v2i_downlink_ms,avg_v2i_rtt_ms,avg_reg_delay_ms,avg_kgc_rtt_ms,avg_ta_rtt_ms
1,0.98,103.2,0,168.563,15.0566,5.066,19.001,70.5,8.07668,8.06169
2,1,103.2,0,149.808,14.2499,51.3869,65.4593,297.25,8.07766,8.06223
3,1,103.2,0,168.615,14.1477,175.444,189.566,498.898,8.07766,8.06223
4,1,103.2,0,236.15,14.1538,280.628,294.753,495.8,8.07766,8.06223
5,1,103.2,0,267.015,14.1359,308.921,323.035,495.8,8.07766,8.06223
6,1,103.2,0,244.114,14.0927,335.091,349.2,495.8,8.07766,8.06223
