time,infected_ratio,propagation_distance,verification_failures,avg_v2v_delay_ms,avg_v2i_uplink_ms,avg_v2i_downlink_ms,avg_v2i_rtt_ms,avg_reg_delay_ms,avg_kgc_rtt_ms,avg_ta_rtt_ms
1,0.02,0,0,0,14.0436,5.1578,19.201,40.2632,8.08924,8.06286
2,0.02,0,0,0,15.6938,6.10764,21.801,48.28,8.09162,8.0628
3,0.02,0,0,0,14.8565,5.61162,20.4677,48.28,8.09129,8.06272
4,0.02,0,0,0,14.5594,5.43561,19.9945,48.28,8.09121,8.0627
5,0.02,0,0,0,14.4072,5.34546,19.7522,48.28,8.09121,8.0627
6,0.02,0,0,0,14.3147,5.29067,19.6049,48.28,8.09121,8.0627
