time,infected_ratio,propagation_distance,verification_failures,avg_v2v_delay_ms,avg_v2i_uplink_ms,avg_v2i_downlink_ms,avg_v2i_rtt_ms
101,1,200,0,59.7457,0.403683,0.335752,0.739006
102,1,200,0,59.2785,0.402333,0.335712,0.737617
103,1,200,0,58.8462,0.401004,0.335673,0.736249
104,1,200,0,58.8015,0.399693,0.335634,0.7349
105,1,200,0,58.4441,0.398402,0.335596,0.733571
106,1,200,0,58.1708,0.397382,0.335566,0.732522
107,1,200,0,57.8163,0.41515,0.345673,0.760398
108,1,200,0,57.6778,0.413505,0.345544,0.758623
109,1,200,0,58.0266,0.411888,0.345417,0.756879
110,1,200,0,58.0534,0.410298,0.345292,0.755163
111,1,200,0,57.9979,0.409072,0.345171,0.753814
112,1,200,0,58.1828,0.407531,0.34505,0.752152
113,1,200,0,58.291,0.406016,0.344931,0.750517
114,1,200,0,58.4736,0.404526,0.344815,0.748909
115,1,200,0,59.0307,0.403059,0.3447,0.747327
116,1,200,0,59.064,0.401616,0.344587,0.745771
117,1,200,0,59.1934,0.400196,0.344476,0.744239
118,1,200,0,59.1237,0.398799,0.344366,0.742731
119,1,200,0,58.9529,0.397423,0.344258,0.741247
120,1,200,0,58.8416,0.396068,0.344152,0.739785
121,1,200,0,58.6745,0.394735,0.344048,0.738346
122,1,200,0,58.5083,0.393421,0.343945,0.73693
123,1,200,0,58.3431,0.392128,0.343844,0.735534
124,1,200,0,58.1788,0.390854,0.343744,0.73416
125,1,200,0,58.0216,0.389599,0.343646,0.732806
126,1,200,0,57.8058,0.388158,0.343533,0.731252
127,1,200,0,57.6219,0.386742,0.343422,0.729724
128,1,200,0,57.4393,0.38535,0.343314,0.728223
129,1,200,0,57.2578,0.383982,0.343206,0.726746
130,1,200,0,57.0775,0.382636,0.343101,0.725294
131,1,200,0,56.8983,0.381313,0.342998,0.723866
132,1,200,0,56.7203,0.380011,0.342896,0.722462
133,1,200,0,56.5434,0.37873,0.342796,0.721081
134,1,200,0,56.3677,0.37747,0.342697,0.719721
135,1,200,0,56.193,0.37623,0.3426,0.718384
136,1,200,0,56.0195,0.37501,0.342505,0.717068
137,1,200,0,55.8471,0.37381,0.342411,0.715772
138,1,200,0,55.6757,0.372628,0.342318,0.714497
139,1,200,0,55.5054,0.371464,0.342227,0.713242
140,1,200,0,55.3362,0.370318,0.342138,0.712006
141,1,200,0,55.1032,0.36919,0.342049,0.710788
142,1,200,0,54.9234,0.368079,0.341962,0.70959
143,1,200,0,54.7375,0.366829,0.341865,0.708242
144,1,200,0,54.5528,0.365601,0.341769,0.706917
145,1,200,0,54.3694,0.364393,0.341674,0.705614
146,1,200,0,54.1873,0.363206,0.341581,0.704333
147,1,200,0,54.0064,0.362038,0.341489,0.703073
148,1,200,0,53.8267,0.36089,0.341399,0.701834
149,1,200,0,53.6482,0.35976,0.341311,0.700615
