time,infected_ratio,propagation_distance,verification_failures,avg_v2v_delay_ms,avg_v2i_uplink_ms,avg_v2i_downlink_ms,avg_v2i_rtt_ms,avg_reg_delay_ms,avg_kgc_rtt_ms,avg_ta_rtt_ms
1,0,0,0,0,3.54291,2.71535,6.25736,25.6982,8.06472,8.05112
2,1,103.2,0,7.53665,3.90433,8.46588,12.3828,34.5814,8.0648,8.05113
3,1,103.2,0,23.5251,3.75365,20.4007,24.1534,34.5814,8.0648,8.05113
4,1,103.2,0,25.6116,3.6367,19.0162,22.652,34.5814,8.0648,8.05113
